segment_id,Purpose,origin_zone,weekday,trips,service_days,policy_flexible,peak_time_bin,peak_time_share,active_time_bins,alternative_time_share_raw,average_alternative_shift_minutes_raw,expected_shift_potential_minutes_raw,temporal_flexibility_index_raw,meets_reliability_filter,temporal_eligible,alternative_time_share,average_alternative_shift_minutes,expected_shift_potential_minutes,temporal_flexibility_index,A_s,D_s_minutes,T_s,active_destination_zones,sum_squared_destination_shares,alternative_destination_count_raw,effective_destination_count_raw,geographical_flexibility_index_raw,dominant_destination_zone,dominant_destination_visits,dominant_destination_share,geographical_eligible,alternative_destination_count,effective_destination_count,geographical_flexibility_index,dominant_destination_zone_final,dominant_destination_visits_final,dominant_destination_share_final,G_s,status_trips,completed_trips,cancelled_trips,other_status_trips,outcome_trips,completion_rate,cancellation_rate,temporal_class,geographical_class,flexibility_type,temporal_quartile,geographical_group,temporal_demand_opportunity,geographical_demand_opportunity
Dialysis | r10_c14 | Friday,Dialysis,r10_c14,Friday,155,53,True,15:30-16:00,0.2967741935483871,4,0.7032258064516129,39.08256880733944,27.483870967741932,0.2290322580645161,True,True,0.7032258064516129,39.08256880733944,27.483870967741932,0.2290322580645161,0.7032258064516129,39.08256880733944,0.2290322580645161,4.0,0.4761290322580645,3.0,2.100271002710027,0.5238709677419355,r10_c15,87.0,0.5612903225806452,True,3.0,2.100271002710027,0.5238709677419355,r10_c15,87.0,0.5612903225806452,0.5238709677419355,155,96,59,0,155,0.6193548387096774,0.38064516129032255,Higher temporal flexibility,Destination diversity observed,Higher temporal flexibility / Destination diversity observed,Q4 highest,G>0 middle,35.49999999999999,81.2
Nutrition | r10_c13 | Thursday,Nutrition,r10_c13,Thursday,57,49,True,08:00-08:30,0.9649122807017544,2,0.03508771929824561,30.0,1.0526315789473684,0.008771929824561403,True,True,0.03508771929824561,30.0,1.0526315789473684,0.008771929824561403,0.03508771929824561,30.0,0.008771929824561403,1.0,1.0,0.0,1.0,0.0,r10_c14,57.0,1.0,True,0.0,1.0,0.0,r10_c14,57.0,1.0,0.0,57,40,17,0,57,0.7017543859649122,0.2982456140350877,Lower temporal flexibility,Single destination observed,Lower temporal flexibility / Single destination observed,Q1 lowest,G=0 single destination,0.5,0.0
Nutrition | r10_c13 | Tuesday,Nutrition,r10_c13,Tuesday,58,49,True,08:00-08:30,0.9655172413793104,2,0.03448275862068961,30.00000000000004,1.0344827586206897,0.008620689655172414,True,True,0.03448275862068961,30.00000000000004,1.0344827586206897,0.008620689655172414,0.03448275862068961,30.00000000000004,0.008620689655172414,1.0,1.0,0.0,1.0,0.0,r10_c14,58.0,1.0,True,0.0,1.0,0.0,r10_c14,58.0,1.0,0.0,58,43,15,0,58,0.7413793103448276,0.25862068965517243,Lower temporal flexibility,Single destination observed,Lower temporal flexibility / Single destination observed,Q1 lowest,G=0 single destination,0.5,0.0
Nutrition | r10_c13 | Wednesday,Nutrition,r10_c13,Wednesday,57,49,True,08:00-08:30,0.9649122807017544,2,0.03508771929824561,30.0,1.0526315789473684,0.008771929824561403,True,True,0.03508771929824561,30.0,1.0526315789473684,0.008771929824561403,0.03508771929824561,30.0,0.008771929824561403,1.0,1.0,0.0,1.0,0.0,r10_c14,57.0,1.0,True,0.0,1.0,0.0,r10_c14,57.0,1.0,0.0,57,37,18,2,55,0.6727272727272727,0.32727272727272727,Lower temporal flexibility,Single destination observed,Lower temporal flexibility / Single destination observed,Q1 lowest,G=0 single destination,0.5,0.0
Nutrition | r10_c14 | Friday,Nutrition,r10_c14,Friday,80,53,True,13:00-13:30,0.7375,2,0.26249999999999996,30.000000000000004,7.875,0.065625,True,True,0.26249999999999996,30.000000000000004,7.875,0.065625,0.26249999999999996,30.000000000000004,0.065625,2.0,0.9278125000000002,1.0,1.0778039744021555,0.07218749999999985,r11_c14,77.0,0.9625,True,1.0,1.0778039744021555,0.07218749999999985,r11_c14,77.0,0.9625,0.07218749999999985,80,39,41,0,80,0.4875,0.5125,Lower temporal flexibility,Destination diversity observed,Lower temporal flexibility / Destination diversity observed,Q2,G>0 lower,5.25,5.774999999999988
Nutrition | r10_c14 | Monday,Nutrition,r10_c14,Monday,79,52,True,13:00-13:30,0.8354430379746836,2,0.16455696202531644,30.0,4.936708860759493,0.04113924050632911,True,True,0.16455696202531644,30.0,4.936708860759493,0.04113924050632911,0.16455696202531644,30.0,0.04113924050632911,2.0,0.8814292581317096,1.0,1.1345209961825125,0.11857074186829042,r11_c14,74.0,0.9367088607594937,True,1.0,1.1345209961825125,0.11857074186829042,r11_c14,74.0,0.9367088607594937,0.11857074186829042,79,43,35,1,78,0.5512820512820513,0.44871794871794873,Lower temporal flexibility,Destination diversity observed,Lower temporal flexibility / Destination diversity observed,Q1 lowest,G>0 lower,3.25,9.367088607594944
Nutrition | r10_c14 | Thursday,Nutrition,r10_c14,Thursday,129,52,True,13:00-13:30,0.7984496124031008,2,0.20155038759689925,29.999999999999996,6.046511627906977,0.050387596899224806,True,True,0.20155038759689925,29.999999999999996,6.046511627906977,0.050387596899224806,0.20155038759689925,29.999999999999996,0.050387596899224806,2.0,0.5050778198425575,1.0,1.9798929208804283,0.4949221801574425,r11_c14,71.0,0.5503875968992248,True,1.0,1.9798929208804283,0.4949221801574425,r11_c14,71.0,0.5503875968992248,0.4949221801574425,129,79,44,6,123,0.6422764227642277,0.35772357723577236,Lower temporal flexibility,Destination diversity observed,Lower temporal flexibility / Destination diversity observed,Q2,G>0 middle,6.5,63.844961240310084
Nutrition | r10_c14 | Tuesday,Nutrition,r10_c14,Tuesday,130,52,True,13:00-13:30,0.8,2,0.19999999999999996,30.000000000000007,6.0,0.05,True,True,0.19999999999999996,30.000000000000007,6.0,0.05,0.19999999999999996,30.000000000000007,0.05,2.0,0.5057988165680474,1.0,1.9770706598034626,0.49420118343195263,r11_c14,72.0,0.5538461538461539,True,1.0,1.9770706598034626,0.49420118343195263,r11_c14,72.0,0.5538461538461539,0.49420118343195263,130,92,35,3,127,0.7244094488188977,0.2755905511811024,Lower temporal flexibility,Destination diversity observed,Lower temporal flexibility / Destination diversity observed,Q2,G>0 middle,6.5,64.24615384615385
Nutrition | r10_c14 | Wednesday,Nutrition,r10_c14,Wednesday,126,52,True,13:00-13:30,0.7936507936507936,2,0.2063492063492064,29.99999999999999,6.19047619047619,0.051587301587301584,True,True,0.2063492063492064,29.99999999999999,6.19047619047619,0.051587301587301584,0.2063492063492064,29.99999999999999,0.051587301587301584,2.0,0.5061728395061729,1.0,1.975609756097561,0.49382716049382713,r11_c14,70.0,0.5555555555555556,True,1.0,1.975609756097561,0.49382716049382713,r11_c14,70.0,0.5555555555555556,0.49382716049382713,126,95,30,1,125,0.76,0.24,Lower temporal flexibility,Destination diversity observed,Lower temporal flexibility / Destination diversity observed,Q2,G>0 middle,6.5,62.22222222222222
Nutrition | r10_c18 | Friday,Nutrition,r10_c18,Friday,175,53,True,07:30-08:00,0.4514285714285714,4,0.5485714285714286,48.12499999999999,26.4,0.22,True,True,0.5485714285714286,48.12499999999999,26.4,0.22,0.5485714285714286,48.12499999999999,0.22,1.0,1.0,0.0,1.0,0.0,r12_c21,175.0,1.0,True,0.0,1.0,0.0,r12_c21,175.0,1.0,0.0,175,72,99,4,171,0.42105263157894735,0.5789473684210527,Higher temporal flexibility,Single destination observed,Higher temporal flexibility / Single destination observed,Q3,G=0 single destination,38.5,0.0
Nutrition | r10_c18 | Monday,Nutrition,r10_c18,Monday,171,52,True,07:30-08:00,0.4502923976608187,4,0.5497076023391814,48.19148936170212,26.49122807017544,0.22076023391812866,True,True,0.5497076023391814,48.19148936170212,26.49122807017544,0.22076023391812866,0.5497076023391814,48.19148936170212,0.22076023391812866,1.0,1.0,0.0,1.0,0.0,r12_c21,171.0,1.0,True,0.0,1.0,0.0,r12_c21,171.0,1.0,0.0,171,65,106,0,171,0.38011695906432746,0.6198830409356725,Higher temporal flexibility,Single destination observed,Higher temporal flexibility / Single destination observed,Q3,G=0 single destination,37.75,0.0
