,poi_id,sg_id,placekey,parent_placekey,name,brands,top_category,sub_category,naics,lat,lon,address,city,region,zipcode,is_shared_polygon,has_parking_lot,is_synthetic,area_sqft
3214428,3214428,,223-222@8gk-tv3-tvz,,Wade Furniture Refinishing Company,,Used Merchandise Stores,Used Merchandise Stores,453310,33.519573,-86.79662,2629 2nd Ave N,Birmingham,AL,35203,,,,
3214516,3214516,,zzw-223@8gk-tv2-wzf,,The Lab Bar and Kitchen,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,33.504185,-86.799164,808 20th St S,Birmingham,AL,35205,,,,
3215198,3215198,,228-224@8gk-tv7-7kf,,Birmingham Wings & Waffles,,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,33.51685,-86.78039,3425 6th Ave S,Birmingham,AL,35222,,,,
3216762,3216762,,225-222@8gk-tc6-hyv,,Calvary Resurrection Christian Church,,Child Day Care Services,Child Day Care Services,624410,33.57647,-86.72692,8440 5th Ave N,Birmingham,AL,35206,,,,
3217505,3217505,,228-222@8gk-tcs-rx5,,Joyful News Christian Church,,Religious Organizations,Religious Organizations,813110,33.553307,-86.8173,3106 27th St N,Birmingham,AL,35207,,,,
3218002,3218002,,224-223@8gk-tmw-swk,,William C Lopez M D,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.6017,-86.66265,100 Pilot Medical Dr Ste 250,Birmingham,AL,35235,,,,
3220032,3220032,,22b-222@8gk-tt9-ygk,,First Baptist Church of Graymont,,Religious Organizations,Religious Organizations,813110,33.517075,-86.83804,100 9th Ct W,Birmingham,AL,35204,,,,
3220984,3220984,,22f-222@8gk-tv2-3bk,,Aero Joe,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,33.516037,-86.79178,2805 2nd Ave S Ste 100,Birmingham,AL,35233,,,,
3221538,3221538,,zzw-224@8gk-tv9-zs5,225-222@8gk-tvb-26k,University of Alabama at Birmingham (UAB) Health System,University of Alabama at Birmingham (UAB) Health System,General Medical and Surgical Hospitals,General Medical and Surgical Hospitals,622110,33.503654,-86.80245,1720 University Blvd,Birmingham,AL,35233,,,,
3221884,3221884,,223-223@8gk-tcz-vvf,,Birmingham Public Library System,,Other Information Services,Libraries and Archives,519120,33.54396,-86.825066,1916 25th Ct N,Birmingham,AL,35234,,,,
3221998,3221998,,223-223@8gk-ttd-33q,223-225@8gk-ttd-33q,Bethel Baptist Church,,Religious Organizations,Religious Organizations,813110,33.486427,-86.86113,1637 Pearson Ave SW,Birmingham,AL,35211,,,,
3222803,3222803,,zzw-222@8gk-tv4-435,,The Pizitz Food Hall,,Traveler Accommodation,Casino Hotels,721120,33.514015,-86.807816,1821 2nd Ave N,Birmingham,AL,35203,,,,
3224054,3224054,,zzw-22b@8gk-tv2-5j9,zzw-227@8gk-tv2-5j9,Ascension Health,Ascension Health,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.508537,-86.78958,806 Saint Vincents Dr,Birmingham,AL,35205,,,,
3224390,3224390,,222-222@8gk-tth-249,,Smith & Gaston Funeral Services,,Death Care Services,Funeral Homes and Funeral Services,812210,33.491535,-86.833916,102 6th Ave SW,Birmingham,AL,35211,,,,
3226023,3226023,,226-222@8gk-tv9-hwk,,Birmingham Rubber Stamp & Stencil,,"Office Supplies, Stationery, and Gift Stores",Office Supplies and Stationery Stores,453210,33.505352,-86.81396,215 12th St S,Birmingham,AL,35233,,,,
3228871,3228871,,zzw-222@8gk-ttg-bhq,,Wells Fargo,Wells Fargo,Depository Credit Intermediation,Commercial Banking,522110,33.495182,-86.879395,2136 Bessemer Rd,Birmingham,AL,35208,,,,
3230817,3230817,,zzy-222@8gk-tds-sqz,,Birmingham Christian Fellowship Church Inc,,Religious Organizations,Religious Organizations,813110,33.548794,-86.71931,5346 Oporto Ave,Birmingham,AL,35210,,,,
3231186,3231186,,222-222@8gk-tv2-6p9,zzw-228@8gk-ttz-w49,Orthosports Associates,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.50857,-86.78775,833 Saint Vincents Dr Ste 403,Birmingham,AL,35205,,,,
3231863,3231863,,224-223@8gk-tt2-qs5,,Safelite,Safelite,Automotive Repair and Maintenance,Automotive Glass Replacement Shops,811122,33.44273,-86.84484,208 Oxmoor Ct,Birmingham,AL,35209,,,,
3232282,3232282,,22c-223@8gk-tt7-7qz,223-226@8gk-tt7-6kz,Glaze Jeffery H MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.498566,-86.84599,817 Princeton Ave SW Ste 210,Birmingham,AL,35211,,,,
3233711,3233711,,226-229@8gk-ttw-xbk,,Paul J Troup MD FACC,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.436592,-86.732346,3980 Colonnade Pkwy,Birmingham,AL,35243,,,,
3234564,3234564,,zzw-222@8gk-tv4-jn5,,Med South Corporate,,Other Ambulatory Health Care Services,All Other Miscellaneous Ambulatory Health Care Services,621999,33.51467,-86.79919,2316 1st Ave S Ste 100,Birmingham,AL,35233,,,,
3235058,3235058,,225-222@8gk-tv3-hbk,,YWCA,YWCA,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,33.518654,-86.80255,309 23rd St N,Birmingham,AL,35203,,,,
3235290,3235290,,226-222@8gk-tv2-4sq,,Sherwin-Williams,Sherwin-Williams,Building Material and Supplies Dealers,Paint and Wallpaper Stores,444120,33.515453,-86.790436,2825 3rd Ave S,Birmingham,AL,35233,,,,
3235438,3235438,,zzw-222@8gk-tv3-sdv,,R & W Wholesale Flowers,,Florists,Florists,453110,33.5229,-86.7931,2915 3rd Ave N,Birmingham,AL,35203,,,,
3235613,3235613,,zzw-223@8gk-tv3-fmk,,Synovus,Synovus,Depository Credit Intermediation,Commercial Banking,522110,33.51689,-86.80496,215 Richard Arrington Jr Blvd N,Birmingham,AL,35203,,,,
3236845,3236845,,22h-222@8gk-tmw-v9f,222-223@8gk-tmw-v4v,Schmitt Kim E MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.595726,-86.66769,52 Medical Park Dr E Ste 102,Birmingham,AL,35235,,,,
3239027,3239027,,222-222@8gk-ttw-wzf,,Medjet Assistance,,Other Ambulatory Health Care Services,Ambulance Services,621910,33.437927,-86.73152,3500 Colonnade Pkwy Ste 500,Birmingham,AL,35243,,,,
3242304,3242304,,222-222@8gk-t78-7nq,,Stephenson Wholesale Tires,,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310,33.555832,-86.66647,1845 Dorroh Rd,Birmingham,AL,35210,,,,
3242433,3242433,,zzw-222@8gk-tc2-tvz,,InTown Suites,InTown Suites,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110,33.612404,-86.68891,1100 Huffman Rd,Birmingham,AL,35215,,,,
3242998,3242998,,zzw-223@8gk-tv4-fcq,,Central Parking,,Other Personal Services,Parking Lots and Garages,812930,33.517445,-86.811806,1717 6th Ave N,Birmingham,AL,35203,,,,
3243068,3243068,,zzw-223@8gk-ttx-dd9,,Church Of The Highlands Inc,,Religious Organizations,Religious Organizations,813110,33.433132,-86.72359,3660 Grandview Pkwy Ste 100,Birmingham,AL,35243,,,,
3243557,3243557,,227-222@8gk-tqp-mkz,,Conserva Irrigation of South Birmingham,,Lawn and Garden Equipment and Supplies Stores,"Nursery, Garden Center, and Farm Supply Stores",444220,33.40256,-86.67537,1150 Eagle Park Rd,Birmingham,AL,35242,,,,
3246908,3246908,,22c-222@8gk-ttg-hyv,,Jesus Christ Church Jesus Christ Christian School,,Religious Organizations,Religious Organizations,813110,33.50061,-86.88344,2820 Avenue S,Birmingham,AL,35218,,,,
3247609,3247609,,zzy-224@8gk-tqp-j5f,,Steel City Pops The Airstream,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,33.41356,-86.66451,5449 Highway 280,Birmingham,AL,35242,,,,
3250804,3250804,,zzw-222@8gk-tc9-35z,,The Crab Barrack,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.592133,-86.69556,9417 Parkway E,Birmingham,AL,35215,,,,
3251730,3251730,,224-223@8gk-tt9-q9f,,Full Service Auto & Electric,,Automotive Repair and Maintenance,General Automotive Repair,811111,33.50669,-86.83366,129 3rd Ave N,Birmingham,AL,35204,,,,
3254384,3254384,,222-222@8gk-tdw-g8v,,Smitty's Golf Cars,,Other Amusement and Recreation Industries,Golf Courses and Country Clubs,713910,33.532597,-86.76692,4601 1st Ave N,Birmingham,AL,35222,,,,
3254669,3254669,,222-222@8gk-tnb-835,,Family Dollar Stores,Family Dollar Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.642773,-86.70597,2157 Carson Rd,Birmingham,AL,35215,,,,
3255572,3255572,,222-222@8gk-tcx-gc5,,Jcceo Calloway Head Start Center,,Child Day Care Services,Child Day Care Services,624410,33.5608,-86.79808,3417 34th Ter N,Birmingham,AL,35207,,,,
3256293,3256293,,zzy-222@8gk-tv2-sqz,,Regal Flowers,,Florists,Florists,453110,33.50562,-86.79681,2115 University Blvd,Birmingham,AL,35233,,,,
3257652,3257652,,224-223@8gk-tt8-q4v,,Flowers Bakery,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,33.51702,-86.86929,2700 13th Street Ensley,Birmingham,AL,35208,,,,
3258810,3258810,,zzy-222@8gk-twf-b8v,zzw-222@8gk-twf-b8v,Conry Robert M MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.412918,-86.760544,Tkc At Action Rd,Birmingham,AL,35226,,,,
