NAME,Total_Population,Median_Household_Income,Mean_Household_Income,Under_5,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_34,Age_35_to_44,Age_45_to_54,Age_55_to_64,Age_65_to_74,Age_75_plus,Income_Less_10k,Income_10k_15k,Income_15k_20k,Income_20k_25k,Income_25k_35k,Income_35k_50k,Income_50k_75k,Income_75k_100k,Income_100k_150k,Income_150k_200k,Income_200k_plus,White_Alone,Black_Alone,American_Indian_Alone,Asian_Alone,Pacific_Islander_Alone,Other_Race_Alone,Two_Or_More_Races,No_Schooling,High_School_Grad,Associates_Degree,Bachelors_Degree,Graduate_or_Professional_Degree,Total_Male,Total_Female,state,county,tract,block group
"Block Group 2, Census Tract 131, Jefferson County, Alabama",923.0,28500.0,10973900.0,37.0,0.0,144.0,34.0,0.0,0.0,1.0,11.0,0.0,0.0,56.0,38.0,59.0,22.0,26.0,30.0,40.0,9.0,14.0,12.0,1.0,26.0,0.0,827.0,0.0,0.0,0.0,96.0,0.0,37.0,132.0,45.0,42.0,3.0,414.0,509.0,1,73,13100,2
"Block Group 3, Census Tract 131, Jefferson County, Alabama",291.0,41563.0,3918000.0,0.0,0.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,24.0,0.0,5.0,0.0,0.0,14.0,0.0,8.0,0.0,11.0,20.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,8.0,37.0,0.0,153.0,138.0,1,73,13100,3
"Block Group 4, Census Tract 131, Jefferson County, Alabama",623.0,45160.0,13198100.0,0.0,11.0,14.0,13.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,7.0,0.0,0.0,23.0,30.0,32.0,23.0,9.0,50.0,0.0,16.0,90.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,55.0,45.0,14.0,200.0,423.0,1,73,13100,4
"Block Group 1, Census Tract 132, Jefferson County, Alabama",855.0,43864.0,18491500.0,0.0,34.0,38.0,25.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,39.0,5.0,0.0,50.0,15.0,57.0,0.0,15.0,48.0,68.0,764.0,0.0,0.0,0.0,0.0,23.0,5.0,153.0,87.0,81.0,9.0,266.0,589.0,1,73,13200,1
"Block Group 2, Census Tract 132, Jefferson County, Alabama",917.0,60234.0,15924000.0,23.0,49.0,119.0,9.0,0.0,0.0,9.0,0.0,0.0,43.0,14.0,25.0,28.0,35.0,16.0,0.0,20.0,0.0,23.0,0.0,0.0,27.0,99.0,810.0,0.0,0.0,0.0,0.0,8.0,19.0,217.0,87.0,73.0,3.0,535.0,382.0,1,73,13200,2
"Block Group 3, Census Tract 132, Jefferson County, Alabama",1008.0,52542.0,16839500.0,4.0,45.0,19.0,107.0,0.0,14.0,0.0,12.0,18.0,6.0,25.0,50.0,9.0,20.0,11.0,0.0,0.0,6.0,44.0,0.0,36.0,35.0,41.0,924.0,0.0,0.0,0.0,22.0,21.0,5.0,207.0,13.0,95.0,9.0,385.0,623.0,1,73,13200,3
"Block Group 1, Census Tract 133, Jefferson County, Alabama",916.0,69750.0,33174000.0,13.0,50.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,16.0,4.0,0.0,5.0,0.0,0.0,18.0,54.0,11.0,4.0,40.0,316.0,266.0,43.0,5.0,0.0,286.0,0.0,97.0,116.0,91.0,139.0,0.0,466.0,450.0,1,73,13300,1
"Block Group 2, Census Tract 133, Jefferson County, Alabama",1236.0,28021.0,20097000.0,28.0,40.0,73.0,25.0,0.0,34.0,0.0,0.0,46.0,56.0,0.0,130.0,72.0,21.0,38.0,36.0,46.0,0.0,5.0,46.0,40.0,0.0,108.0,803.0,0.0,0.0,0.0,46.0,279.0,34.0,221.0,88.0,106.0,7.0,740.0,496.0,1,73,13300,2
"Block Group 3, Census Tract 133, Jefferson County, Alabama",1019.0,27208.0,27677500.0,0.0,15.0,53.0,7.0,0.0,0.0,28.0,0.0,45.0,73.0,0.0,84.0,15.0,14.0,59.0,30.0,25.0,11.0,22.0,27.0,0.0,40.0,25.0,975.0,0.0,0.0,0.0,19.0,0.0,68.0,382.0,25.0,38.0,0.0,461.0,558.0,1,73,13300,3
"Block Group 1, Census Tract 134, Jefferson County, Alabama",912.0,52713.0,22421400.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,11.0,59.0,114.0,51.0,0.0,9.0,7.0,0.0,7.0,0.0,30.0,47.0,121.0,114.0,767.0,0.0,0.0,0.0,0.0,31.0,32.0,187.0,96.0,60.0,76.0,288.0,624.0,1,73,13400,1
