segment_id,Purpose,origin_zone,weekday,trips,service_days,policy_flexible,peak_time_bin,peak_time_share,active_time_bins,alternative_time_share_raw,average_alternative_shift_minutes_raw,expected_shift_potential_minutes_raw,temporal_flexibility_index_raw,meets_reliability_filter,temporal_eligible,alternative_time_share,average_alternative_shift_minutes,expected_shift_potential_minutes,temporal_flexibility_index,A_s,D_s_minutes,T_s,active_destination_zones,sum_squared_destination_shares,alternative_destination_count_raw,effective_destination_count_raw,geographical_flexibility_index_raw,dominant_destination_zone,dominant_destination_visits,dominant_destination_share,geographical_eligible,alternative_destination_count,effective_destination_count,geographical_flexibility_index,dominant_destination_zone_final,dominant_destination_visits_final,dominant_destination_share_final,G_s
Dialysis | r13_c19 | Monday,Dialysis,r13_c19,Monday,64,52,True,09:00-09:30,0.484375,3,0.515625,30.0,15.46875,0.12890625,True,True,0.515625,30.0,15.46875,0.12890625,0.515625,30.0,0.12890625,1.0,1.0,0.0,1.0,0.0,r10_c14,64.0,1.0,True,0.0,1.0,0.0,r10_c14,64.0,1.0,0.0
Dialysis | r13_c19 | Thursday,Dialysis,r13_c19,Thursday,1,1,True,10:30-11:00,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r10_c14,1.0,1.0,False,,,,,,,
Dialysis | r13_c19 | Tuesday,Dialysis,r13_c19,Tuesday,1,1,True,09:30-10:00,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r10_c14,1.0,1.0,False,,,,,,,
Dialysis | r13_c19 | Wednesday,Dialysis,r13_c19,Wednesday,58,52,True,09:00-09:30,0.5172413793103449,2,0.48275862068965514,30.000000000000004,14.482758620689657,0.1206896551724138,True,True,0.48275862068965514,30.000000000000004,14.482758620689657,0.1206896551724138,0.48275862068965514,30.000000000000004,0.1206896551724138,1.0,1.0,0.0,1.0,0.0,r10_c14,58.0,1.0,True,0.0,1.0,0.0,r10_c14,58.0,1.0,0.0
Dialysis | r14_c15 | Friday,Dialysis,r14_c15,Friday,1,1,True,09:30-10:00,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r17_c16,1.0,1.0,False,,,,,,,
Dialysis | r14_c15 | Monday,Dialysis,r14_c15,Monday,5,2,True,09:30-10:00,0.6,3,0.4,30.0,12.0,0.1,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r17_c16,5.0,1.0,False,,,,,,,
Dialysis | r14_c15 | Wednesday,Dialysis,r14_c15,Wednesday,1,1,True,09:30-10:00,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r17_c16,1.0,1.0,False,,,,,,,
Dialysis | r14_c16 | Friday,Dialysis,r14_c16,Friday,2,2,True,10:30-11:00,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c17,2.0,1.0,False,,,,,,,
Dialysis | r14_c16 | Monday,Dialysis,r14_c16,Monday,2,2,True,10:30-11:00,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c17,2.0,1.0,False,,,,,,,
Dialysis | r14_c16 | Wednesday,Dialysis,r14_c16,Wednesday,2,2,True,10:30-11:00,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c17,2.0,1.0,False,,,,,,,
Dialysis | r17_c15 | Friday,Dialysis,r17_c15,Friday,13,11,True,10:00-10:30,0.8461538461538461,2,0.15384615384615385,30.0,4.615384615384616,0.038461538461538464,True,True,0.15384615384615385,30.0,4.615384615384616,0.038461538461538464,0.15384615384615385,30.0,0.038461538461538464,1.0,1.0,0.0,1.0,0.0,r21_c17,13.0,1.0,True,0.0,1.0,0.0,r21_c17,13.0,1.0,0.0
Dialysis | r17_c15 | Monday,Dialysis,r17_c15,Monday,10,10,True,10:00-10:30,1.0,1,0.0,,0.0,0.0,True,True,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,r21_c17,10.0,1.0,True,0.0,1.0,0.0,r21_c17,10.0,1.0,0.0
Dialysis | r17_c15 | Wednesday,Dialysis,r17_c15,Wednesday,12,10,True,10:00-10:30,0.8333333333333334,2,0.16666666666666663,30.000000000000007,5.0,0.041666666666666664,True,True,0.16666666666666663,30.000000000000007,5.0,0.041666666666666664,0.16666666666666663,30.000000000000007,0.041666666666666664,1.0,1.0,0.0,1.0,0.0,r21_c17,12.0,1.0,True,0.0,1.0,0.0,r21_c17,12.0,1.0,0.0
Dialysis | r17_c16 | Friday,Dialysis,r17_c16,Friday,192,53,True,15:30-16:00,0.734375,8,0.265625,200.0,53.125,0.17317708333333334,True,True,0.265625,200.0,53.125,0.17317708333333334,0.265625,200.0,0.17317708333333334,5.0,0.27728949652777773,4.0,3.6063392682449624,0.7227105034722223,r17_c17,61.0,0.3177083333333333,True,4.0,3.6063392682449624,0.7227105034722223,r17_c17,61.0,0.3177083333333333,0.7227105034722223
Dialysis | r17_c16 | Monday,Dialysis,r17_c16,Monday,207,52,True,15:30-16:00,0.7342995169082126,10,0.2657004830917874,217.63636363636365,57.826086956521735,0.18840579710144925,True,True,0.2657004830917874,217.63636363636365,57.826086956521735,0.18840579710144925,0.2657004830917874,217.63636363636365,0.18840579710144925,5.0,0.2777894466615324,4.0,3.5998487776190875,0.7222105533384676,r9_c18,67.0,0.32367149758454106,True,4.0,3.5998487776190875,0.7222105533384676,r9_c18,67.0,0.32367149758454106,0.7222105533384676
Dialysis | r17_c16 | Tuesday,Dialysis,r17_c16,Tuesday,4,1,True,09:00-09:30,0.25,4,0.75,200.0,150.0,0.5625,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r17_c16,4.0,1.0,False,,,,,,,
Dialysis | r17_c16 | Wednesday,Dialysis,r17_c16,Wednesday,197,52,True,15:30-16:00,0.7309644670050761,8,0.2690355329949239,215.0943396226415,57.86802030456853,0.1814720812182741,True,True,0.2690355329949239,215.0943396226415,57.86802030456853,0.1814720812182741,0.2690355329949239,215.0943396226415,0.1814720812182741,5.0,0.2832075034141565,4.0,3.530979892639432,0.7167924965858434,r17_c16,65.0,0.3299492385786802,True,4.0,3.530979892639432,0.7167924965858434,r17_c16,65.0,0.3299492385786802,0.7167924965858434
Dialysis | r17_c17 | Friday,Dialysis,r17_c17,Friday,58,53,True,10:30-11:00,1.0,1,0.0,,0.0,0.0,True,True,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,r17_c16,58.0,1.0,True,0.0,1.0,0.0,r17_c16,58.0,1.0,0.0
Dialysis | r17_c17 | Monday,Dialysis,r17_c17,Monday,52,50,True,10:30-11:00,1.0,1,0.0,,0.0,0.0,True,True,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,r17_c16,52.0,1.0,True,0.0,1.0,0.0,r17_c16,52.0,1.0,0.0
Dialysis | r17_c17 | Wednesday,Dialysis,r17_c17,Wednesday,56,52,True,10:30-11:00,1.0,1,0.0,,0.0,0.0,True,True,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,r17_c16,56.0,1.0,True,0.0,1.0,0.0,r17_c16,56.0,1.0,0.0
Dialysis | r18_c6 | Monday,Dialysis,r18_c6,Monday,1,1,True,09:30-10:00,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c9,1.0,1.0,False,,,,,,,
Dialysis | r18_c6 | Thursday,Dialysis,r18_c6,Thursday,23,21,True,09:30-10:00,0.5217391304347826,2,0.4782608695652174,30.0,14.347826086956522,0.11956521739130435,True,True,0.4782608695652174,30.0,14.347826086956522,0.11956521739130435,0.4782608695652174,30.0,0.11956521739130435,1.0,1.0,0.0,1.0,0.0,r21_c9,23.0,1.0,True,0.0,1.0,0.0,r21_c9,23.0,1.0,0.0
Dialysis | r18_c6 | Tuesday,Dialysis,r18_c6,Tuesday,31,23,True,10:00-10:30,0.6129032258064516,3,0.3870967741935484,32.50000000000001,12.580645161290324,0.10483870967741936,True,True,0.3870967741935484,32.50000000000001,12.580645161290324,0.10483870967741936,0.3870967741935484,32.50000000000001,0.10483870967741936,1.0,1.0,0.0,1.0,0.0,r21_c9,31.0,1.0,True,0.0,1.0,0.0,r21_c9,31.0,1.0,0.0
Dialysis | r18_c6 | Wednesday,Dialysis,r18_c6,Wednesday,2,2,True,09:30-10:00,0.5,2,0.5,30.0,15.0,0.125,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c9,2.0,1.0,False,,,,,,,
Dialysis | r19_c12 | Friday,Dialysis,r19_c12,Friday,3,2,True,10:00-10:30,0.6666666666666666,2,0.33333333333333337,59.99999999999999,20.0,0.16666666666666666,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c17,3.0,1.0,False,,,,,,,
Dialysis | r19_c12 | Monday,Dialysis,r19_c12,Monday,2,1,True,09:30-10:00,0.5,2,0.5,30.0,15.0,0.125,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c17,2.0,1.0,False,,,,,,,
Dialysis | r19_c12 | Wednesday,Dialysis,r19_c12,Wednesday,2,1,True,09:30-10:00,0.5,2,0.5,30.0,15.0,0.125,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c17,2.0,1.0,False,,,,,,,
Dialysis | r19_c14 | Monday,Dialysis,r19_c14,Monday,1,1,True,10:00-10:30,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c17,1.0,1.0,False,,,,,,,
Dialysis | r19_c17 | Tuesday,Dialysis,r19_c17,Tuesday,1,1,True,11:00-11:30,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r17_c16,1.0,1.0,False,,,,,,,
Dialysis | r19_c22 | Friday,Dialysis,r19_c22,Friday,12,9,True,09:00-09:30,1.0,1,0.0,,0.0,0.0,True,True,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,r17_c16,12.0,1.0,True,0.0,1.0,0.0,r17_c16,12.0,1.0,0.0
Dialysis | r19_c22 | Monday,Dialysis,r19_c22,Monday,12,8,True,09:00-09:30,1.0,1,0.0,,0.0,0.0,True,True,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,r17_c16,12.0,1.0,True,0.0,1.0,0.0,r17_c16,12.0,1.0,0.0
Dialysis | r19_c22 | Wednesday,Dialysis,r19_c22,Wednesday,16,8,True,09:00-09:30,1.0,1,0.0,,0.0,0.0,True,True,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,r17_c16,16.0,1.0,True,0.0,1.0,0.0,r17_c16,16.0,1.0,0.0
Dialysis | r20_c22 | Friday,Dialysis,r20_c22,Friday,72,51,True,08:30-09:00,0.6388888888888888,4,0.36111111111111116,31.15384615384615,11.25,0.09375,True,True,0.36111111111111116,31.15384615384615,11.25,0.09375,0.36111111111111116,31.15384615384615,0.09375,1.0,1.0,0.0,1.0,0.0,r21_c17,72.0,1.0,True,0.0,1.0,0.0,r21_c17,72.0,1.0,0.0
Dialysis | r20_c22 | Monday,Dialysis,r20_c22,Monday,93,49,True,08:30-09:00,0.6344086021505376,4,0.3655913978494624,34.411764705882355,12.580645161290324,0.10483870967741936,True,True,0.3655913978494624,34.411764705882355,12.580645161290324,0.10483870967741936,0.3655913978494624,34.411764705882355,0.10483870967741936,1.0,1.0,0.0,1.0,0.0,r21_c17,93.0,1.0,True,0.0,1.0,0.0,r21_c17,93.0,1.0,0.0
Dialysis | r20_c22 | Wednesday,Dialysis,r20_c22,Wednesday,88,52,True,08:30-09:00,0.5681818181818182,7,0.43181818181818177,37.89473684210527,16.363636363636363,0.13636363636363635,True,True,0.43181818181818177,37.89473684210527,16.363636363636363,0.13636363636363635,0.43181818181818177,37.89473684210527,0.13636363636363635,1.0,1.0,0.0,1.0,0.0,r21_c17,88.0,1.0,True,0.0,1.0,0.0,r21_c17,88.0,1.0,0.0
Dialysis | r20_c9 | Thursday,Dialysis,r20_c9,Thursday,16,15,True,11:00-11:30,0.8125,2,0.1875,30.0,5.625,0.046875,True,True,0.1875,30.0,5.625,0.046875,0.1875,30.0,0.046875,1.0,1.0,0.0,1.0,0.0,r27_c12,16.0,1.0,True,0.0,1.0,0.0,r27_c12,16.0,1.0,0.0
Dialysis | r20_c9 | Tuesday,Dialysis,r20_c9,Tuesday,19,15,True,11:00-11:30,0.6842105263157895,3,0.3157894736842105,35.0,11.052631578947368,0.09210526315789473,True,True,0.3157894736842105,35.0,11.052631578947368,0.09210526315789473,0.3157894736842105,35.0,0.09210526315789473,1.0,1.0,0.0,1.0,0.0,r27_c12,19.0,1.0,True,0.0,1.0,0.0,r27_c12,19.0,1.0,0.0
Dialysis | r20_c9 | Wednesday,Dialysis,r20_c9,Wednesday,1,1,True,11:00-11:30,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r27_c12,1.0,1.0,False,,,,,,,
Dialysis | r21_c17 | Friday,Dialysis,r21_c17,Friday,299,53,True,12:30-13:00,0.27759197324414714,10,0.7224080267558528,78.47222222222223,56.68896321070234,0.4239130434782608,True,True,0.7224080267558528,78.47222222222223,56.68896321070234,0.4239130434782608,0.7224080267558528,78.47222222222223,0.4239130434782608,5.0,0.24168633460475833,4.0,4.13759429814412,0.7583136653952417,r19_c12,105.0,0.3511705685618729,True,4.0,4.13759429814412,0.7583136653952417,r19_c12,105.0,0.3511705685618729,0.7583136653952417
Dialysis | r21_c17 | Monday,Dialysis,r21_c17,Monday,291,52,True,11:00-11:30,0.2852233676975945,12,0.7147766323024055,89.13461538461536,63.711340206185554,0.44158075601374563,True,True,0.7147766323024055,89.13461538461536,63.711340206185554,0.44158075601374563,0.7147766323024055,89.13461538461536,0.44158075601374563,5.0,0.23999480402923912,4.0,4.166756876445407,0.7600051959707609,r19_c12,95.0,0.32646048109965636,True,4.0,4.166756876445407,0.7600051959707609,r19_c12,95.0,0.32646048109965636,0.7600051959707609
Dialysis | r21_c17 | Saturday,Dialysis,r21_c17,Saturday,7,4,True,11:00-11:30,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c16,7.0,1.0,False,,,,,,,
Dialysis | r21_c17 | Sunday,Dialysis,r21_c17,Sunday,7,4,True,11:00-11:30,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c16,7.0,1.0,False,,,,,,,
Dialysis | r21_c17 | Thursday,Dialysis,r21_c17,Thursday,8,5,True,11:00-11:30,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,2.0,0.625,1.0,1.6,0.375,r21_c16,6.0,0.75,False,,,,,,,
Dialysis | r21_c17 | Tuesday,Dialysis,r21_c17,Tuesday,6,5,True,11:00-11:30,0.8333333333333334,2,0.16666666666666663,60.000000000000014,10.0,0.08333333333333333,False,False,,,,,,,,2.0,0.7222222222222223,1.0,1.3846153846153844,0.2777777777777777,r21_c16,5.0,0.8333333333333334,False,,,,,,,
